molecule_chembl_id,canonical_smiles
CHEMBL8343,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)/C(=C/C(C)(C)C)[C@H]2SC1.[Na+]
CHEMBL276897,CCCCN(C)C(=O)CCCCCCCSC(Cc1ccc(O)cc1)c1ccc(OC)cc1
CHEMBL274654,Cc1[nH]c(/C=C2\C(=O)Nc3ccccc32)c(C)c1CCC(=O)O
CHEMBL267288,CCOc1ccc2[nH]c(C(=O)c3cc4ccccc4[nH]3)cc2c1
CHEMBL415478,Cc1oc(-c2ccc(C(F)(F)F)cc2)nc1COc1cccc(CCCn2oc(=O)[nH]c2=O)c1
CHEMBL269139,Cc1cc(-c2c(F)cc3c(=O)c(Cc4cc(O)ccc4O)cn(C4CC4)c3c2F)cc(C)n1
CHEMBL8818,CCCCCC(O)c1cccc(OCc2ccccc2)c1
CHEMBL8812,Cc1cn(CCCNC(=O)c2cc3cc(Cl)ccc3[nH]2)cn1
CHEMBL418535,O=C(NCc1ccn(-c2cc3nc(O)c(O)nc3cc2[N+](=O)[O-])c1)Nc1ccncc1
CHEMBL15493,C=C(c1ccccc1OCC(O)CN1CCCC1)n1ccnc1
CHEMBL414401,CCc1nnc2c(NC3CCC3)nc3ccccc3n12
CHEMBL275442,CCCc1cc2c(=O)n(N)c(SCCCN3CCN(c4ccccc4OC)CC3)nc2s1
CHEMBL11896,CCCN(CCC)C1Cc2cccc3c2N(C1)C(=O)C3
CHEMBL14960,CNCC1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C(C)(C)C)C1
CHEMBL274125,CCN(CC)C(=O)c1ccc(N(c2ccccc2)[C@@H]2C[C@H]3CC[C@@H](C2)N3)cc1
CHEMBL14348,CCCCC(=O)c1ccc(OCCCN2CCC(c3noc4cc(F)ccc34)CC2)c(OC)c1
CHEMBL10239,CCCC(C)(C)C(=O)Oc1ccc(C(=O)c2ccc(OC(=O)C(C)(C)CCC)cc2)cc1
CHEMBL274687,Brc1noc(C2CN3CCC2CC3)n1
CHEMBL6249,Cc1ccc(Sc2cncc3sc(/C=N/Oc4ccccc4)cc23)cc1
CHEMBL7945,NC1=NC(c2ccc(F)cc2)Cc2cccc(F)c21
CHEMBL273546,CC1(c2cccc(CC(=O)O)c2)c2cc(C(=O)O)sc2C(=O)c2c1c1ccccc1n2Cc1ccccc1
CHEMBL274137,O=c1oc(Nc2ccccc2Cl)nc2cc(Cl)c(Cl)cc12
CHEMBL274166,CCCCCCCN(CCCCCSc1nc(CCC)c(CCC)[nH]1)C(=O)Nc1ccc(F)cc1F
CHEMBL7878,CC(C)(CCCOc1ccc([S+]([O-])CCCC(C)(C)C(=O)O)cc1)C(=O)O
CHEMBL10299,CC(/C=C/C(O)=C1\C(=O)CNC1=O)=C\c1ccc2ccccc2c1
CHEMBL273234,COC(=O)c1cc(-c2cc(O)c(Sc3ccccc3C(C)C)c(=O)o2)ccc1O
CHEMBL8869,O=C(NCCCn1ccnc1)c1sc2cc(F)ccc2c1Cl
CHEMBL13272,COc1ccccc1C(=O)c1c(C)n(CCN2CCOCC2)c2ccccc12
CHEMBL6272,O=C(c1ccc(Cl)cc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1
CHEMBL415969,N#Cc1ccc(-c2cncc(O[C@@H]3CCNC3)c2)cc1
